Timestamp;Sum;Avg;Min;Max;Median
1462234477;88.0;1.4426229508196722;1.0;2.0;1.0
1462234538;88.0;1.4426229508196722;1.0;2.0;1.0
1462234599;88.0;1.4426229508196722;1.0;2.0;1.0
1462234660;87.0;1.4262295081967213;1.0;2.0;1.0
1462234721;88.0;1.4426229508196722;1.0;2.0;1.0
1462234782;89.0;1.459016393442623;1.0;2.0;1.0
1462234843;89.0;1.459016393442623;1.0;2.0;1.0
1462234904;88.0;1.4426229508196722;1.0;2.0;1.0
1462234965;89.0;1.459016393442623;1.0;2.0;1.0
1462235026;86.0;1.4098360655737705;1.0;2.0;1.0
1462235087;88.0;1.4426229508196722;1.0;2.0;1.0
1462235148;41.0;1.4137931034482758;1.0;2.0;1.0
