Timestamp;Sum;Avg;Min;Max;Median
1462217697;88.0;1.4426229508196722;1.0;2.0;1.0
1462217758;88.0;1.4426229508196722;1.0;2.0;1.0
1462217819;87.0;1.4262295081967213;1.0;2.0;1.0
1462217880;87.0;1.4262295081967213;1.0;2.0;1.0
1462217941;88.0;1.4426229508196722;1.0;2.0;1.0
1462218002;88.0;1.4426229508196722;1.0;2.0;1.0
1462218063;89.0;1.459016393442623;1.0;2.0;1.0
1462218124;88.0;1.4426229508196722;1.0;2.0;1.0
1462218185;89.0;1.459016393442623;1.0;2.0;1.0
1462218246;86.0;1.4098360655737705;1.0;2.0;1.0
1462218307;87.0;1.4262295081967213;1.0;2.0;1.0
1462218368;44.0;1.4193548387096775;1.0;2.0;1.0
