Timestamp;Sum;Avg;Min;Max;Median
1462385448;84.0;1.3770491803278688;1.0;2.0;1.0
1462385509;83.0;1.360655737704918;1.0;2.0;1.0
1462385570;85.0;1.3934426229508197;1.0;2.0;1.0
1462385631;84.0;1.3770491803278688;1.0;2.0;1.0
1462385692;88.0;1.4426229508196722;1.0;2.0;1.0
1462385753;87.0;1.4262295081967213;1.0;2.0;1.0
1462385814;88.0;1.4426229508196722;1.0;2.0;1.0
1462385875;85.0;1.3934426229508197;1.0;2.0;1.0
1462385936;84.0;1.3770491803278688;1.0;2.0;1.0
1462385997;83.0;1.360655737704918;1.0;2.0;1.0
1462386058;84.0;1.3770491803278688;1.0;2.0;1.0
1462386119;74.0;1.3214285714285714;1.0;2.0;1.0
