Timestamp;Sum;Avg;Min;Max;Median
1462217015;89.0;1.459016393442623;1.0;2.0;1.0
1462217076;90.0;1.4754098360655739;1.0;2.0;1.0
1462217137;91.0;1.4918032786885247;1.0;2.0;1.0
1462217198;91.0;1.4918032786885247;1.0;2.0;1.0
1462217259;90.0;1.4754098360655739;1.0;2.0;1.0
1462217320;89.0;1.459016393442623;1.0;2.0;1.0
1462217381;90.0;1.4754098360655739;1.0;2.0;1.0
1462217442;90.0;1.4754098360655739;1.0;2.0;1.0
1462217503;91.0;1.4918032786885247;1.0;2.0;1.0
1462217564;91.0;1.4918032786885247;1.0;2.0;1.0
1462217625;91.0;1.4918032786885247;1.0;2.0;1.0
1462217686;16.0;1.4545454545454546;1.0;2.0;1.0
