Timestamp;Sum;Avg;Min;Max;Median
1462384794;93.0;1.5245901639344261;1.0;2.0;2.0
1462384855;95.0;1.5573770491803278;1.0;2.0;2.0
1462384916;95.0;1.5573770491803278;1.0;2.0;2.0
1462384977;94.0;1.540983606557377;1.0;2.0;2.0
1462385038;94.0;1.540983606557377;1.0;2.0;2.0
1462385099;93.0;1.5245901639344261;1.0;2.0;2.0
1462385160;94.0;1.540983606557377;1.0;2.0;2.0
1462385221;95.0;1.5573770491803278;1.0;2.0;2.0
1462385282;94.0;1.540983606557377;1.0;2.0;2.0
1462385343;95.0;1.5573770491803278;1.0;2.0;2.0
1462385404;67.0;1.558139534883721;1.0;2.0;2.0
