Timestamp;Sum;Avg;Min;Max;Median
1462232594;94.0;1.540983606557377;1.0;2.0;2.0
1462232655;95.0;1.5573770491803278;1.0;2.0;2.0
1462232716;95.0;1.5573770491803278;1.0;2.0;2.0
1462232777;94.0;1.540983606557377;1.0;2.0;2.0
1462232838;95.0;1.5573770491803278;1.0;2.0;2.0
1462232899;95.0;1.5573770491803278;1.0;2.0;2.0
1462232960;95.0;1.5573770491803278;1.0;2.0;2.0
1462233021;95.0;1.5573770491803278;1.0;2.0;2.0
1462233082;94.0;1.540983606557377;1.0;2.0;2.0
1462233143;95.0;1.5573770491803278;1.0;2.0;2.0
1462233204;95.0;1.5573770491803278;1.0;2.0;2.0
1462233265;95.0;1.5573770491803278;1.0;2.0;2.0
1462233326;94.0;1.540983606557377;1.0;2.0;2.0
1462233387;95.0;1.5573770491803278;1.0;2.0;2.0
1462233448;95.0;1.5573770491803278;1.0;2.0;2.0
1462233509;95.0;1.5573770491803278;1.0;2.0;2.0
1462233570;95.0;1.5573770491803278;1.0;2.0;2.0
1462233631;94.0;1.540983606557377;1.0;2.0;2.0
1462233692;95.0;1.5573770491803278;1.0;2.0;2.0
1462233753;70.0;1.5555555555555556;1.0;2.0;2.0
