Timestamp;Sum;Avg;Min;Max;Median
1462204809;66222.0;1085.6065573770493;989.0;1177.0;1082.0
1462204870;67029.0;1098.8360655737704;927.0;1181.0;1106.0
1462204931;67351.0;1104.1147540983607;996.0;1190.0;1103.0
1462204992;69105.0;1132.8688524590164;1026.0;1209.0;1129.0
1462205053;68414.0;1121.5409836065573;886.0;1198.0;1127.0
1462205114;67424.0;1105.311475409836;918.0;1216.0;1109.0
1462205175;66710.0;1093.6065573770493;931.0;1171.0;1102.0
1462205236;67637.0;1108.8032786885246;986.0;1181.0;1106.0
1462205297;67790.0;1111.311475409836;901.0;1177.0;1119.0
1462205358;68213.0;1118.2459016393443;822.0;1222.0;1125.0
1462205419;67508.0;1106.688524590164;933.0;1188.0;1120.0
1462205480;67516.0;1106.8196721311476;682.0;1189.0;1117.0
1462205541;69379.0;1137.360655737705;1071.0;1208.0;1141.0
1462205602;67965.0;1114.1803278688524;589.0;1208.0;1128.0
1462205663;67575.0;1107.7868852459017;866.0;1199.0;1116.0
1462205724;66420.0;1088.8524590163934;678.0;1182.0;1113.0
1462205785;67901.0;1113.1311475409836;948.0;1207.0;1116.0
1462205846;68839.0;1128.5081967213114;1030.0;1196.0;1127.0
1462205907;67052.0;1099.2131147540983;396.0;1228.0;1125.0
1462205968;68655.0;1125.4918032786886;947.0;1192.0;1131.0
1462206029;69063.0;1132.1803278688524;955.0;1204.0;1140.0
1462206090;68075.0;1115.983606557377;33.0;1214.0;1144.0
1462206151;69261.0;1135.4262295081967;912.0;1217.0;1144.0
1462206212;69717.0;1142.9016393442623;1034.0;1219.0;1148.0
1462206273;67171.0;1101.1639344262296;193.0;1204.0;1139.0
1462206334;69686.0;1142.3934426229507;769.0;1208.0;1155.0
1462206395;69620.0;1141.311475409836;999.0;1208.0;1145.0
1462206456;70762.0;1160.032786885246;1033.0;1221.0;1165.0
1462206517;66210.0;1085.4098360655737;31.0;1205.0;1134.0
1462206578;25245.0;1097.608695652174;1007.0;1171.0;1095.0
