Timestamp;Sum;Avg;Min;Max;Median
1462377724;934.0;15.311475409836065;13.0;20.0;15.0
1462377785;932.0;15.278688524590164;12.0;21.0;15.0
1462377846;933.0;15.295081967213115;13.0;20.0;15.0
1462377907;934.0;15.311475409836065;13.0;21.0;15.0
1462377968;931.0;15.262295081967213;13.0;20.0;15.0
1462378029;933.0;15.295081967213115;11.0;19.0;15.0
1462378090;933.0;15.295081967213115;13.0;20.0;15.0
1462378151;932.0;15.278688524590164;13.0;20.0;15.0
1462378212;932.0;15.278688524590164;13.0;20.0;15.0
1462378273;933.0;15.295081967213115;13.0;18.0;15.0
1462378334;934.0;15.311475409836065;13.0;20.0;15.0
1462378395;930.0;15.245901639344263;13.0;17.0;15.0
1462378456;934.0;15.311475409836065;14.0;18.0;15.0
1462378517;934.0;15.311475409836065;13.0;19.0;15.0
1462378578;934.0;15.311475409836065;12.0;21.0;15.0
1462378639;934.0;15.311475409836065;13.0;19.0;15.0
1462378700;935.0;15.327868852459016;13.0;19.0;15.0
1462378761;411.0;15.222222222222221;14.0;16.0;15.0
