Timestamp;Sum;Avg;Min;Max;Median
1462383449;80.0;1.3114754098360655;1.0;2.0;1.0
1462383510;81.0;1.3278688524590163;1.0;2.0;1.0
1462383571;83.0;1.360655737704918;1.0;2.0;1.0
1462383632;84.0;1.3770491803278688;1.0;2.0;1.0
1462383693;83.0;1.360655737704918;1.0;2.0;1.0
1462383754;83.0;1.360655737704918;1.0;2.0;1.0
1462383815;84.0;1.3770491803278688;1.0;2.0;1.0
1462383876;83.0;1.360655737704918;1.0;2.0;1.0
1462383937;84.0;1.3770491803278688;1.0;2.0;1.0
1462383998;83.0;1.360655737704918;1.0;2.0;1.0
1462384059;83.0;1.360655737704918;1.0;2.0;1.0
1462384120;83.0;1.360655737704918;1.0;2.0;1.0
1462384181;83.0;1.360655737704918;1.0;2.0;1.0
1462384242;82.0;1.3442622950819672;1.0;2.0;1.0
1462384303;82.0;1.3442622950819672;1.0;2.0;1.0
1462384364;82.0;1.3442622950819672;1.0;2.0;1.0
1462384425;82.0;1.3442622950819672;1.0;2.0;1.0
1462384486;82.0;1.3442622950819672;1.0;2.0;1.0
1462384547;82.0;1.3442622950819672;1.0;2.0;1.0
1462384608;82.0;1.3442622950819672;1.0;2.0;1.0
1462384669;81.0;1.3278688524590163;1.0;2.0;1.0
1462384730;81.0;1.3278688524590163;1.0;2.0;1.0
1462384791;4.0;1.3333333333333333;1.0;2.0;1.0
