Timestamp;Sum;Avg;Min;Max;Median
1462214624;93.0;1.5245901639344261;1.0;2.0;2.0
1462214685;95.0;1.5573770491803278;1.0;2.0;2.0
1462214746;94.0;1.540983606557377;1.0;2.0;2.0
1462214807;95.0;1.5573770491803278;1.0;2.0;2.0
1462214868;95.0;1.5573770491803278;1.0;2.0;2.0
1462214929;94.0;1.540983606557377;1.0;2.0;2.0
1462214990;95.0;1.5573770491803278;1.0;2.0;2.0
1462215051;94.0;1.540983606557377;1.0;2.0;2.0
1462215112;95.0;1.5573770491803278;1.0;2.0;2.0
1462215173;94.0;1.540983606557377;1.0;2.0;2.0
1462215234;95.0;1.5573770491803278;1.0;2.0;2.0
1462215295;94.0;1.540983606557377;1.0;2.0;2.0
1462215356;95.0;1.5573770491803278;1.0;2.0;2.0
1462215417;94.0;1.540983606557377;1.0;2.0;2.0
1462215478;95.0;1.5573770491803278;1.0;2.0;2.0
1462215539;94.0;1.540983606557377;1.0;2.0;2.0
1462215600;95.0;1.5573770491803278;1.0;2.0;2.0
1462215661;95.0;1.5573770491803278;1.0;2.0;2.0
1462215722;94.0;1.540983606557377;1.0;2.0;2.0
1462215783;34.0;1.5454545454545454;1.0;2.0;2.0
